,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
34,2.65,4.37,61.0,53.0,0.0,61.0,1.61,1.84,0.46,0.12,53.0,0.0,0.01,5.64,0.12,67.0,2.65,4.37,0.46,0.23,0.0,57.0,53.06,93.0,1.18,0.0,0.12,0.0
35,1.09,42.96,74.0,40.0,45.0,40.0,1.89,1.29,0.99,0.2,41.0,0.4,0.47,20.49,4.87,38.0,3.28,3.98,0.0,0.1,0.0,45.0,42.96,74.0,3.38,0.0,0.4,0.0
36,1.32,4.71,64.0,57.0,0.0,64.0,1.76,2.35,0.59,0.0,57.0,0.15,0.19,7.94,0.29,67.0,1.32,4.71,0.44,0.59,0.0,67.0,59.12,91.0,1.73,0.0,0.15,0.0
37,0.0,0.0,0.43,0.0,0.09,100.0,0.0,0.0,6.42,0.0,0.0,0.09,3.85,0.0,0.0,0.0,0.0,36.27,89.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,61.0,1.37,2.5,2.16,0.34,65.0,0.0,0.02,7.74,0.0,17.0,1.93,5.58,0.11,0.34,0.0,59.0,49.95,87.0,1.68,0.23,0.34,67.0,0.0,75.0,0.1,0.11,0.25
39,0.68,37.0,0.53,68.0,51.0,45.0,5.68,6.03,1.1,0.27,51.0,0.14,0.2,14.79,0.55,68.0,0.82,1.64,0.07,0.21,0.0,25.0,30.82,67.0,1.06,0.68,1.85,37.0
40,2.15,4.3,75.0,0.0,0.0,75.0,0.0,0.0,1.07,0.21,0.0,0.0,0.28,24.49,2.15,60.0,2.15,4.3,0.21,0.21,0.0,80.0,67.23,92.0,2.91,0.43,0.64,67.0
41,1.08,49.54,78.0,48.0,43.0,48.0,1.54,0.92,1.69,0.31,38.0,0.31,0.18,25.08,1.23,79.0,4.62,1.85,0.0,0.15,0.0,43.0,49.54,78.0,4.2,0.15,0.31,50.0
42,1.84,3.29,68.0,73.0,0.0,68.0,0.39,1.07,0.39,0.19,73.0,0.1,0.07,19.76,0.68,78.0,1.84,3.29,0.19,0.19,0.0,42.0,54.83,93.0,1.9,0.0,0.0,0.0
43,3.87,5.19,65.0,58.0,0.0,65.0,1.14,1.58,1.06,0.09,58.0,0.0,0.02,16.8,0.62,100.0,3.87,5.19,0.18,0.26,0.0,75.0,56.92,85.0,1.93,0.0,0.53,0.0
